city,data_type,week_start,week_end,days_in_week,temp_avg_c,temp_max_c,temp_min_c,precip_mm,max_gust_kmh,adverse_events
Leeuwarden,historical,2026-03-23,2026-03-29,7,6.6,12.6,1.0,21.9,78.5,snow|storm
Rotterdam,historical,2026-03-23,2026-03-29,7,7.3,13.7,2.0,27.9,76.7,snow|storm
Amsterdam,historical,2026-03-30,2026-04-05,7,8.7,15.1,3.2,8.0,68.8,
De Bilt,historical,2026-03-30,2026-04-05,7,8.7,15.1,2.5,14.3,62.3,snow
Eindhoven,historical,2026-03-30,2026-04-05,7,8.7,15.2,1.4,15.0,60.5,
Leeuwarden,historical,2026-03-30,2026-04-05,7,8.0,13.8,2.5,8.9,76.0,snow|storm
Rotterdam,historical,2026-03-30,2026-04-05,7,9.1,15.1,4.2,13.2,64.8,snow
Amsterdam,historical,2026-04-06,2026-04-12,7,10.2,20.1,3.3,4.1,52.6,
De Bilt,historical,2026-04-06,2026-04-12,7,10.4,19.5,3.1,4.6,45.4,
Eindhoven,historical,2026-04-06,2026-04-12,7,11.1,23.2,3.3,13.6,48.6,
Leeuwarden,historical,2026-04-06,2026-04-12,7,8.5,17.0,0.9,15.9,59.4,
Rotterdam,historical,2026-04-06,2026-04-12,7,10.6,21.6,4.4,1.3,51.1,
Amsterdam,historical,2026-04-13,2026-04-19,7,11.1,18.3,5.0,3.3,38.9,
De Bilt,historical,2026-04-13,2026-04-19,7,11.2,18.3,3.6,2.8,38.9,
Eindhoven,historical,2026-04-13,2026-04-19,7,12.2,20.5,3.8,5.0,40.3,
Leeuwarden,historical,2026-04-13,2026-04-19,7,10.2,17.4,3.2,2.1,46.1,
Rotterdam,historical,2026-04-13,2026-04-19,7,11.5,19.0,4.8,0.8,40.3,
Amsterdam,historical,2026-04-20,2026-04-26,7,8.8,15.4,3.7,1.8,43.6,
De Bilt,historical,2026-04-20,2026-04-26,7,9.2,16.1,3.5,0.9,36.0,
Eindhoven,historical,2026-04-20,2026-04-26,7,10.8,18.9,3.0,0.5,41.4,
Leeuwarden,historical,2026-04-20,2026-04-26,7,7.7,13.9,2.3,1.5,43.6,
Rotterdam,historical,2026-04-20,2026-04-26,7,10.1,16.8,4.1,1.2,38.9,
Amsterdam,historical,2026-04-27,2026-05-03,7,13.5,22.9,5.0,4.6,49.7,
De Bilt,historical,2026-04-27,2026-05-03,7,13.7,22.4,3.8,16.0,43.9,heavy_rain
Eindhoven,historical,2026-04-27,2026-05-03,7,15.4,25.5,4.5,5.3,52.6,
Leeuwarden,historical,2026-04-27,2026-05-03,7,12.0,22.1,1.7,6.3,49.3,
Rotterdam,historical,2026-04-27,2026-05-03,7,14.6,24.9,5.8,11.9,51.5,
Amsterdam,historical,2026-05-04,2026-05-10,7,12.0,18.0,5.8,4.1,42.1,
De Bilt,historical,2026-05-04,2026-05-10,7,12.5,18.3,7.3,1.8,47.9,
Eindhoven,historical,2026-05-04,2026-05-10,7,12.7,19.1,7.2,21.1,40.3,
Leeuwarden,historical,2026-05-04,2026-05-10,7,11.0,16.4,6.2,0.9,46.1,
Rotterdam,historical,2026-05-04,2026-05-10,7,13.1,19.2,7.3,1.1,42.8,
Amsterdam,historical,2026-05-11,2026-05-17,7,9.1,14.1,5.4,28.9,55.4,
De Bilt,historical,2026-05-11,2026-05-17,7,8.9,15.1,4.6,20.3,54.4,
Eindhoven,historical,2026-05-11,2026-05-17,7,9.0,16.5,3.2,27.7,52.6,
Leeuwarden,historical,2026-05-11,2026-05-17,7,8.5,14.0,3.6,62.2,78.5,storm
Rotterdam,historical,2026-05-11,2026-05-17,7,9.5,14.6,5.9,24.8,55.1,
Amsterdam,historical,2026-05-18,2026-05-24,7,16.1,27.8,7.7,13.2,52.2,
De Bilt,historical,2026-05-18,2026-05-24,7,16.0,27.9,7.2,17.1,51.8,
Eindhoven,historical,2026-05-18,2026-05-24,7,17.2,30.5,7.1,17.0,51.8,
Leeuwarden,historical,2026-05-18,2026-05-24,7,15.4,26.8,7.7,12.2,52.2,
Rotterdam,historical,2026-05-18,2026-05-24,7,16.4,28.0,8.2,10.6,53.3,
Amsterdam,historical,2026-05-25,2026-05-31,7,19.8,29.6,10.6,20.2,42.5,
De Bilt,historical,2026-05-25,2026-05-31,7,19.6,29.5,10.4,12.0,44.3,
Eindhoven,historical,2026-05-25,2026-05-31,7,21.8,32.2,12.8,6.6,52.2,
Leeuwarden,historical,2026-05-25,2026-05-31,7,17.7,28.9,8.5,22.3,47.9,heavy_rain
Rotterdam,historical,2026-05-25,2026-05-31,7,20.9,30.4,12.4,17.9,46.4,heavy_rain
Amsterdam,historical,2026-06-01,2026-06-07,7,16.1,22.9,12.1,50.6,60.1,heavy_rain
De Bilt,historical,2026-06-01,2026-06-07,7,15.7,22.0,11.5,47.6,56.9,
Eindhoven,historical,2026-06-01,2026-06-07,7,16.1,24.0,10.5,40.8,57.2,heavy_rain
Leeuwarden,historical,2026-06-01,2026-06-07,7,16.1,22.1,12.1,39.3,57.6,
Rotterdam,historical,2026-06-01,2026-06-07,7,16.0,22.0,12.2,50.1,64.1,
Amsterdam,historical,2026-06-08,2026-06-08,1,15.5,20.2,13.3,9.1,35.3,
De Bilt,historical,2026-06-08,2026-06-08,1,15.9,20.1,13.3,12.3,35.3,
Eindhoven,historical,2026-06-08,2026-06-08,1,16.2,21.7,11.7,4.2,38.5,
Leeuwarden,historical,2026-06-08,2026-06-08,1,16.1,20.0,13.6,12.1,39.6,
Rotterdam,historical,2026-06-08,2026-06-08,1,15.6,20.3,13.3,6.4,36.4,
