prediction_week,scenario,FORECAST_POINT,START_OF_WEEK,FORECAST_DISTANCE,SKILL_OFFERED_SUM (actual)_PREDICTION,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,EXPLANATION_4_FEATURE_NAME,EXPLANATION_4_STRENGTH,EXPLANATION_4_ACTUAL_VALUE,EXPLANATION_4_QUALITATIVE_STRENGTH,EXPLANATION_5_FEATURE_NAME,EXPLANATION_5_STRENGTH,EXPLANATION_5_ACTUAL_VALUE,EXPLANATION_5_QUALITATIVE_STRENGTH,EXPLANATION_6_FEATURE_NAME,EXPLANATION_6_STRENGTH,EXPLANATION_6_ACTUAL_VALUE,EXPLANATION_6_QUALITATIVE_STRENGTH,EXPLANATION_7_FEATURE_NAME,EXPLANATION_7_STRENGTH,EXPLANATION_7_ACTUAL_VALUE,EXPLANATION_7_QUALITATIVE_STRENGTH,EXPLANATION_8_FEATURE_NAME,EXPLANATION_8_STRENGTH,EXPLANATION_8_ACTUAL_VALUE,EXPLANATION_8_QUALITATIVE_STRENGTH,EXPLANATION_9_FEATURE_NAME,EXPLANATION_9_STRENGTH,EXPLANATION_9_ACTUAL_VALUE,EXPLANATION_9_QUALITATIVE_STRENGTH,EXPLANATION_10_FEATURE_NAME,EXPLANATION_10_STRENGTH,EXPLANATION_10_ACTUAL_VALUE,EXPLANATION_10_QUALITATIVE_STRENGTH,DEPLOYMENT_APPROVAL_STATUS,ASSOCIATION_ID,forecast_step,YEAR,MONTH,DAY_OF_YEAR,WEEK_OF_YEAR,SKILL,SKILL_OFFERED_SUM,ASA,Nieuwjaarsdag,1e Paasdag,2e Paasdag,Koningsdag,Hemelvaartsdag,1e Pinksterdag,2e Pinksterdag,1e Kerstdag,2e Kerstdag,Bevrijdingsdag,Holidays,Voorjaar,Mei,Zomer,Herfst,Kerst,Vacations,Black Friday,Cyber Monday,SpecialDays,NEW CUSTOMER,MIGRATION WITH CPE,MIGRATION WITHOU CPE,CHURN,TECH SWAP,MSTB,ADDON,BASE/STEADY,BASE,MESSAGINGINDICATOR
2025-04-21,planned,2025-04-21T00:00:00Z,2025-07-14,12,39463.0234375,Zomer (actual),-2636.1732320312,39.0,---,DAY_OF_YEAR (actual),-1332.4171875,195.0,--,SKILL_OFFERED_SUM (6 week std),1199.44765625,3078.9699846972635,++,2e Paasdag (6 week fraction equal 3),-1066.4973972656,0.1666666666666666,--,SKILL_OFFERED_SUM (naive latest value),-853.5640625,35481.0,--,SKILL_OFFERED_SUM (velocity),-618.787109375,-14881.333333333332,--,MIGRATION WITHOU CPE (actual),-562.573828125,7992.0,--,TECH SWAP (actual),554.832421875,5212.0,++,SKILL_OFFERED_SUM (acceleration),-435.21796875,-21515.0,-,ASA (actual),412.43359375,133.0,+,APPROVED,TECH_2025-07-14,12,2025,7,195,29,TECH,,133,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0,6536,3954,7992,7644,5212,1105,2171,"2856979,857","2891593,857",10
2025-04-21,planned,2025-04-21T00:00:00Z,2025-07-21,13,39353.37109375,Zomer (actual),-2570.6768535156,54.0,---,DAY_OF_YEAR (actual),-1408.9046875,202.0,--,ASA (actual),955.79375,118.0,++,SKILL_OFFERED_SUM (6 week std),868.1296875,3078.9699846972635,++,SKILL_OFFERED_SUM (naive latest value),-589.091796875,35481.0,--,SKILL_OFFERED_SUM (velocity),-578.921484375,-14881.333333333332,--,ADDON (actual),-547.290625,2106.0,--,MIGRATION WITH CPE (actual),489.729296875,5802.0,++,CHURN (actual),-390.0671875,7613.0,-,SKILL_OFFERED_SUM (3rd lag),-362.78125,39927.0,-,APPROVED,TECH_2025-07-21,13,2025,7,202,30,TECH,,118,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,6576,5802,7438,7613,2418,1021,2106,"2854481,857","2887455,857",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-04-28,1,42289.421875,SKILL_OFFERED_SUM (6 week std),1111.27265625,3078.9699846972635,++,SKILL_OFFERED_SUM (3rd lag),-591.72265625,39927.0,--,MIGRATION WITH CPE (actual),-583.42421875,4095.0,--,ADDON (actual),-567.723828125,1397.0,--,WEEK_OF_YEAR (6 week mean),552.962890625,14.5,++,SKILL_OFFERED_SUM (velocity),-549.640234375,-14881.333333333332,--,NEW CUSTOMER (actual),483.416015625,8902.0,++,2e Paasdag (6 week fraction equal 3),-480.9338117188,0.1666666666666666,--,START_OF_WEEK (Day of Month) (actual),451.015234375,28.0,++,SKILL_OFFERED_SUM (naive latest value),-416.244921875,35481.0,--,APPROVED,TECH_2025-04-28,1,2025,4,118,18,TECH,,33,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54,0,0,0,8902,4095,8378,10742,7879,1009,1397,"2880795,571","2923197,571",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-05-05,2,37703.0625,Holidays (actual),-1598.7444,3.0,--,SKILL_OFFERED_SUM (naive latest value),-1152.757421875,35481.0,--,SKILL_OFFERED_SUM (6 week std),1106.19375,3078.9699846972635,++,WEEK_OF_YEAR (6 week mean),1085.220703125,14.5,++,2e Paasdag (6 week fraction equal 3),-1066.4938578125,0.1666666666666666,--,ADDON (actual),-1036.21796875,1390.0,--,NEW CUSTOMER (actual),-959.41875,6383.0,--,SKILL_OFFERED_SUM (3rd lag),-835.911328125,39927.0,--,ASA (actual),-666.490625,24.0,--,TECH SWAP (actual),601.91328125,5601.0,++,APPROVED,TECH_2025-05-05,2,2025,5,125,19,TECH,,24,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6383,4033,6787,7338,5601,1140,1390,"2878134,143","2910806,143",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-05-12,3,38230.84765625,ASA (actual),-1736.1125,29.0,--,ADDON (actual),-1617.523046875,1446.0,--,SKILL_OFFERED_SUM (3rd lag),-835.911328125,39927.0,--,TECH SWAP (actual),-812.42265625,3829.0,--,SKILL_OFFERED_SUM (naive latest value),-684.0296875,35481.0,--,MIGRATION WITH CPE (actual),-673.28671875,6571.0,--,Vacations (6 week max),-627.99140625,9.0,--,START_OF_WEEK (Month) (actual),-594.367578125,5.0,--,NEW CUSTOMER (actual),574.355859375,6821.0,++,DAY_OF_YEAR (actual),-571.5671875,132.0,--,APPROVED,TECH_2025-05-12,3,2025,5,132,20,TECH,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6821,6571,7609,6841,3829,1116,1446,"2876242,571","2910475,571",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-05-19,4,48124.515625,MIGRATION WITH CPE (actual),2034.544140625,15197.0,+++,ASA (actual),2003.582421875,109.0,+++,SKILL_OFFERED_SUM (3rd lag),-952.09609375,39927.0,--,SKILL_OFFERED_SUM (naive latest value),-572.6328125,35481.0,--,NEW CUSTOMER (actual),555.193359375,6722.0,++,TECH SWAP (actual),545.34296875,5877.0,++,WEEK_OF_YEAR (6 week mean),545.184375,14.5,++,SKILL_OFFERED_SUM (5th lag),528.24375,43703.0,++,CHURN (actual),-447.598046875,6843.0,--,SKILL_OFFERED_SUM (6 week max),424.326171875,43703.0,+,APPROVED,TECH_2025-05-19,4,2025,5,139,21,TECH,,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6722,15197,7733,6843,5877,1244,1506,2872660,2917782,10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-05-26,5,39999.46875,Holidays (actual),-1989.35304375,3.0,---,ASA (actual),-980.1375,64.0,--,SKILL_OFFERED_SUM (3rd lag),-918.0859375,39927.0,--,MIGRATION WITH CPE (actual),850.070703125,14981.0,++,SKILL_OFFERED_SUM (6 week std),498.783984375,3078.9699846972635,++,WEEK_OF_YEAR (6 week mean),492.005078125,14.5,++,SKILL_OFFERED_SUM (5th lag),436.801953125,43703.0,++,SKILL_OFFERED_SUM (velocity),-406.891796875,-14881.333333333332,--,DAY_OF_YEAR (actual),-366.92109375,146.0,--,SKILL_OFFERED_SUM (naive latest value),-366.598046875,35481.0,--,APPROVED,TECH_2025-05-26,5,2025,5,146,22,TECH,,64,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7369,14981,5823,8410,2072,1116,1513,"2871743,714","2913027,714",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-06-02,6,42458.0234375,SKILL_OFFERED_SUM (3rd lag),-1115.0921875,39927.0,--,DAY_OF_YEAR (actual),-934.30625,153.0,--,SKILL_OFFERED_SUM (6 week std),827.165625,3078.9699846972635,++,MIGRATION WITH CPE (actual),596.3453125,6086.0,++,MIGRATION WITHOU CPE (actual),587.984375,6305.0,++,ASA (actual),-532.146875,48.0,--,SKILL_OFFERED_SUM (2nd lag),473.51015625,41819.0,++,WEEK_OF_YEAR (6 week mean),459.658984375,14.5,++,SKILL_OFFERED_SUM (naive latest value),-411.18828125,35481.0,--,SKILL_OFFERED_SUM (6 week median),-364.0140625,42356.0,--,APPROVED,TECH_2025-06-02,6,2025,6,153,23,TECH,,48,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8120,6086,6305,7085,2476,1257,1885,"2869219,571","2902433,571",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-06-09,7,34249.953125,Holidays (actual),-3479.0297875,3.0,---,DAY_OF_YEAR (actual),-1857.574609375,160.0,--,TECH SWAP (actual),-1558.70859375,2050.0,--,CHURN (actual),-1507.496484375,6128.0,--,NEW CUSTOMER (actual),-1421.237890625,6104.0,--,SKILL_OFFERED_SUM (6 week std),1366.8400390625,3078.9699846972635,++,SKILL_OFFERED_SUM (naive latest value),-958.055078125,35481.0,--,2e Paasdag (6 week fraction equal 3),-873.8909765625,0.1666666666666666,--,WEEK_OF_YEAR (6 week mean),729.76328125,14.5,++,SKILL_OFFERED_SUM (5th lag),617.048046875,43703.0,+,APPROVED,TECH_2025-06-09,7,2025,6,160,24,TECH,,38,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6104,4999,5667,6128,2050,963,1540,"2868616,571","2896067,571",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-06-16,8,40027.98828125,DAY_OF_YEAR (actual),-1545.718359375,167.0,--,MIGRATION WITH CPE (actual),-1322.7703125,7354.0,--,ASA (actual),-1073.6515625,68.0,--,SKILL_OFFERED_SUM (3rd lag),-744.653515625,39927.0,--,SKILL_OFFERED_SUM (velocity),-730.466796875,-14881.333333333332,--,ADDON (actual),611.381640625,2376.0,++,SKILL_OFFERED_SUM (5th lag),606.75390625,43703.0,++,Vacations (6 week max),-505.5734375,9.0,--,SKILL_OFFERED_SUM (6 week std),439.01171875,3078.9699846972635,++,TECH SWAP (actual),-410.635546875,2609.0,--,APPROVED,TECH_2025-06-16,8,2025,6,167,25,TECH,,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7280,7354,6784,8341,2609,1055,2376,"2864598,286","2900397,286",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-06-23,9,42232.93359375,ADDON (actual),2459.072265625,2623.0,+++,DAY_OF_YEAR (actual),-1505.25390625,174.0,--,ASA (actual),-1300.321484375,63.0,--,MIGRATION WITH CPE (actual),-1081.8125,10212.0,--,SKILL_OFFERED_SUM (velocity),-964.65625,-14881.333333333332,--,SKILL_OFFERED_SUM (3rd lag),-725.485546875,39927.0,--,SKILL_OFFERED_SUM (5th lag),488.087890625,43703.0,++,SKILL_OFFERED_SUM (6 week std),484.9359375,3078.9699846972635,+,Vacations (6 week max),-375.572265625,9.0,-,SKILL_OFFERED_SUM (2nd lag),371.092578125,41819.0,+,APPROVED,TECH_2025-06-23,9,2025,6,174,26,TECH,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7282,10212,6591,7670,2474,1106,2623,"2862827,429","2900785,429",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-06-30,10,46660.07421875,ADDON (actual),2699.598828125,2697.0,+++,DAY_OF_YEAR (actual),-1227.96015625,181.0,--,CHURN (actual),1102.839453125,9710.0,++,ASA (actual),909.70625,123.0,++,SKILL_OFFERED_SUM (3rd lag),-745.2125,39927.0,--,SKILL_OFFERED_SUM (5th lag),668.66640625,43703.0,++,MIGRATION WITH CPE (actual),-633.76953125,9075.0,--,SKILL_OFFERED_SUM (6 week max),-597.629296875,43703.0,--,Zomer (actual),555.8647183594,3.0,++,Vacations (6 week max),-488.486328125,9.0,--,APPROVED,TECH_2025-06-30,10,2025,6,181,27,TECH,,123,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8955,9075,6654,9710,2829,1157,2697,"2858352,714","2899429,714",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-07-07,11,44166.69140625,ASA (actual),1271.78046875,173.0,++,SKILL_OFFERED_SUM (6 week std),1231.2734375,3078.9699846972635,++,SKILL_OFFERED_SUM (velocity),-1192.57109375,-14881.333333333332,--,DAY_OF_YEAR (actual),-1149.25078125,188.0,--,2e Paasdag (6 week fraction equal 3),-845.7063113281,0.1666666666666666,--,ADDON (actual),783.359765625,2386.0,++,WEEK_OF_YEAR (6 week mean),641.84921875,14.5,++,NEW CUSTOMER (actual),615.487890625,7084.0,++,SKILL_OFFERED_SUM (3rd lag),-517.646875,39927.0,--,TECH SWAP (actual),505.167578125,8510.0,++,APPROVED,TECH_2025-07-07,11,2025,7,188,28,TECH,,173,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,7084,3884,6603,7779,8510,1279,2386,"2858274,143","2895799,143",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-07-14,12,39463.0234375,Zomer (actual),-2636.1732320312,39.0,---,DAY_OF_YEAR (actual),-1332.4171875,195.0,--,SKILL_OFFERED_SUM (6 week std),1199.44765625,3078.9699846972635,++,2e Paasdag (6 week fraction equal 3),-1066.4973972656,0.1666666666666666,--,SKILL_OFFERED_SUM (naive latest value),-853.5640625,35481.0,--,SKILL_OFFERED_SUM (velocity),-618.787109375,-14881.333333333332,--,MIGRATION WITHOU CPE (actual),-562.573828125,7992.0,--,TECH SWAP (actual),554.832421875,5212.0,++,SKILL_OFFERED_SUM (acceleration),-435.21796875,-21515.0,-,ASA (actual),412.43359375,133.0,+,APPROVED,TECH_2025-07-14,12,2025,7,195,29,TECH,,133,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0,6536,3954,7992,7644,5212,1105,2171,"2856979,857","2891593,857",10
2025-04-21,actual,2025-04-21T00:00:00Z,2025-07-21,13,39353.37109375,Zomer (actual),-2570.6768535156,54.0,---,DAY_OF_YEAR (actual),-1408.9046875,202.0,--,ASA (actual),955.79375,118.0,++,SKILL_OFFERED_SUM (6 week std),868.1296875,3078.9699846972635,++,SKILL_OFFERED_SUM (naive latest value),-589.091796875,35481.0,--,SKILL_OFFERED_SUM (velocity),-578.921484375,-14881.333333333332,--,ADDON (actual),-547.290625,2106.0,--,MIGRATION WITH CPE (actual),489.729296875,5802.0,++,CHURN (actual),-390.0671875,7613.0,-,SKILL_OFFERED_SUM (3rd lag),-362.78125,39927.0,-,APPROVED,TECH_2025-07-21,13,2025,7,202,30,TECH,,118,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,6576,5802,7438,7613,2418,1021,2106,"2854481,857","2887455,857",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-05-05,1,38703.140625,SKILL_OFFERED_SUM (acceleration),-1890.121875,34108.0,--,TECH SWAP (actual),1223.670703125,5601.0,++,SKILL_OFFERED_SUM (6 week std),1047.238671875,3004.155455365118,++,ADDON (actual),-956.178125,1390.0,--,SKILL_OFFERED_SUM (5th lag),884.625390625,43090.0,++,NEW CUSTOMER (actual),-843.1359375,6383.0,--,SKILL_OFFERED_SUM (4th lag),-725.224609375,39927.0,--,Holidays (actual),-652.39784375,3.0,--,WEEK_OF_YEAR (6 week mean),649.00390625,15.5,++,SKILL_OFFERED_SUM (2nd lag),636.477734375,35481.0,++,APPROVED,TECH_2025-05-05,1,2025,5,125,19,TECH,,24,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6383,4033,6787,7338,5601,1140,1390,"2878134,143","2910806,143",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-05-12,2,39025.796875,ADDON (actual),-1621.370703125,1446.0,--,ASA (actual),-1367.715234375,29.0,--,SKILL_OFFERED_SUM (acceleration),-1095.929296875,34108.0,--,SKILL_OFFERED_SUM (5th lag),1035.91953125,43090.0,++,SKILL_OFFERED_SUM (4th lag),-941.81328125,39927.0,--,SKILL_OFFERED_SUM (2nd lag),642.07578125,35481.0,++,MIGRATION WITHOU CPE (actual),635.80703125,7609.0,++,NEW CUSTOMER (actual),551.97890625,6821.0,++,START_OF_WEEK (Month) (actual),-515.981640625,5.0,--,MSTB (actual),-502.29765625,1116.0,--,APPROVED,TECH_2025-05-12,2,2025,5,132,20,TECH,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6821,6571,7609,6841,3829,1116,1446,"2876242,571","2910475,571",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-05-19,3,47676.9375,MIGRATION WITH CPE (actual),2499.45859375,15197.0,+++,ASA (actual),1590.00625,109.0,++,SKILL_OFFERED_SUM (acceleration),-1431.661328125,34108.0,--,SKILL_OFFERED_SUM (5th lag),1093.551171875,43090.0,++,TECH SWAP (actual),1093.419140625,5877.0,++,SKILL_OFFERED_SUM (4th lag),-909.720703125,39927.0,--,1e Paasdag (6 week fraction equal 1),439.8132277344,0.1666666666666666,+,SKILL_OFFERED_SUM (6 week max),425.52578125,43703.0,+,MIGRATION WITHOU CPE (actual),412.08828125,7733.0,+,NEW CUSTOMER (actual),364.57421875,6722.0,+,APPROVED,TECH_2025-05-19,3,2025,5,139,21,TECH,,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6722,15197,7733,6843,5877,1244,1506,2872660,2917782,10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-05-26,4,39344.33203125,SKILL_OFFERED_SUM (acceleration),-2753.352734375,34108.0,---,TECH SWAP (actual),-1381.775,2072.0,--,MIGRATION WITH CPE (actual),1288.8859375,14981.0,++,ASA (actual),-1016.18046875,64.0,--,Holidays (actual),-875.92659375,3.0,--,SKILL_OFFERED_SUM (5th lag),783.825,43090.0,++,2e Paasdag (6 week fraction equal 3),543.4476328125,0.1666666666666666,++,MSTB (actual),-541.2875,1116.0,--,ADDON (actual),-502.34765625,1513.0,-,MIGRATION WITHOU CPE (actual),483.401953125,5823.0,+,APPROVED,TECH_2025-05-26,4,2025,5,146,22,TECH,,64,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7369,14981,5823,8410,2072,1116,1513,"2871743,714","2913027,714",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-06-02,5,42550.3515625,SKILL_OFFERED_SUM (acceleration),-1416.047265625,34108.0,---,SKILL_OFFERED_SUM (6 week std),740.021875,3004.155455365118,++,MIGRATION WITHOU CPE (actual),701.7109375,6305.0,++,SKILL_OFFERED_SUM (4th lag),-670.044921875,39927.0,--,SKILL_OFFERED_SUM (5th lag),635.898828125,43090.0,++,DAY_OF_YEAR (actual),-625.76015625,153.0,--,MIGRATION WITH CPE (actual),551.107421875,6086.0,++,SKILL_OFFERED_SUM (2nd lag),454.996484375,35481.0,++,ADDON (actual),-421.303515625,1885.0,--,NEW CUSTOMER (actual),-367.6765625,8120.0,--,APPROVED,TECH_2025-06-02,5,2025,6,153,23,TECH,,48,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8120,6086,6305,7085,2476,1257,1885,"2869219,571","2902433,571",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-06-09,6,32907.83203125,TECH SWAP (actual),-3396.308984375,2050.0,--,SKILL_OFFERED_SUM (acceleration),-3131.009375,34108.0,--,Holidays (actual),-2720.2309875,3.0,--,DAY_OF_YEAR (actual),-2207.55859375,160.0,--,NEW CUSTOMER (actual),-1282.721484375,6104.0,--,SKILL_OFFERED_SUM (6 week std),1276.16015625,3004.155455365118,++,CHURN (actual),-1225.382421875,6128.0,--,SKILL_OFFERED_SUM (5th lag),1105.5119140625,43090.0,++,SKILL_OFFERED_SUM (3rd lag),-581.282421875,41819.0,-,MIGRATION WITHOU CPE (actual),548.511328125,5667.0,+,APPROVED,TECH_2025-06-09,6,2025,6,160,24,TECH,,38,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6104,4999,5667,6128,2050,963,1540,"2868616,571","2896067,571",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-06-16,7,39048.9765625,SKILL_OFFERED_SUM (acceleration),-1678.718359375,34108.0,--,DAY_OF_YEAR (actual),-1630.653515625,167.0,--,ASA (actual),-1084.383984375,68.0,--,MIGRATION WITH CPE (actual),-1019.240234375,7354.0,--,SKILL_OFFERED_SUM (5th lag),929.050390625,43090.0,++,ADDON (actual),732.403515625,2376.0,++,SKILL_OFFERED_SUM (4th lag),-687.348828125,39927.0,--,SKILL_OFFERED_SUM (velocity),532.458203125,20126.83333333333,++,SKILL_OFFERED_SUM (3rd lag),-509.811328125,41819.0,--,SKILL_OFFERED_SUM (6 week std),413.73515625,3004.155455365118,+,APPROVED,TECH_2025-06-16,7,2025,6,167,25,TECH,,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7280,7354,6784,8341,2609,1055,2376,"2864598,286","2900397,286",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-06-23,8,41468.9375,ADDON (actual),2556.5609375,2623.0,+++,SKILL_OFFERED_SUM (acceleration),-1802.0890625,34108.0,--,DAY_OF_YEAR (actual),-1754.68046875,174.0,--,ASA (actual),-1380.67421875,63.0,--,SKILL_OFFERED_SUM (5th lag),896.3,43090.0,++,SKILL_OFFERED_SUM (4th lag),-815.94140625,39927.0,--,SKILL_OFFERED_SUM (velocity),767.590625,20126.83333333333,++,MSTB (actual),-677.2796875,1106.0,--,SKILL_OFFERED_SUM (3rd lag),-515.279296875,41819.0,-,2e Paasdag (6 week fraction equal 3),460.2881816406,0.1666666666666666,+,APPROVED,TECH_2025-06-23,8,2025,6,174,26,TECH,,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7282,10212,6591,7670,2474,1106,2623,"2862827,429","2900785,429",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-06-30,9,45923.44921875,ADDON (actual),3253.9703125,2697.0,+++,SKILL_OFFERED_SUM (acceleration),-1817.5765625,34108.0,--,DAY_OF_YEAR (actual),-1662.74140625,181.0,--,SKILL_OFFERED_SUM (5th lag),1363.641015625,43090.0,++,CHURN (actual),1024.77734375,9710.0,++,ASA (actual),575.5390625,123.0,+,SKILL_OFFERED_SUM (3rd lag),-547.0375,41819.0,-,SKILL_OFFERED_SUM (6 week max),-542.3453125,43703.0,-,SKILL_OFFERED_SUM (6 week median),467.35,41950.5,+,2e Paasdag (6 week fraction equal 3),460.2952605469,0.1666666666666666,+,APPROVED,TECH_2025-06-30,9,2025,6,181,27,TECH,,123,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8955,9075,6654,9710,2829,1157,2697,"2858352,714","2899429,714",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-07-07,10,44203.015625,SKILL_OFFERED_SUM (acceleration),-1627.219140625,34108.0,--,DAY_OF_YEAR (actual),-1608.813671875,188.0,--,TECH SWAP (actual),1250.5015625,8510.0,++,SKILL_OFFERED_SUM (6 week std),1222.9703125,3004.155455365118,++,ASA (actual),1173.006640625,173.0,++,SKILL_OFFERED_SUM (5th lag),882.56640625,43090.0,++,ADDON (actual),820.61328125,2386.0,++,SKILL_OFFERED_SUM (4th lag),-724.565625,39927.0,--,SKILL_OFFERED_SUM (velocity),714.24765625,20126.83333333333,++,NEW CUSTOMER (actual),661.48125,7084.0,++,APPROVED,TECH_2025-07-07,10,2025,7,188,28,TECH,,173,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,7084,3884,6603,7779,8510,1279,2386,"2858274,143","2895799,143",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-07-14,11,40081.3828125,DAY_OF_YEAR (actual),-1832.487109375,195.0,--,MIGRATION WITHOU CPE (actual),-1217.3515625,7992.0,--,SKILL_OFFERED_SUM (6 week std),1177.05703125,3004.155455365118,++,WEEK_OF_YEAR (6 week mean),-948.20234375,15.5,--,TECH SWAP (actual),909.07734375,5212.0,++,SKILL_OFFERED_SUM (4th lag),-892.174609375,39927.0,--,SKILL_OFFERED_SUM (3rd lag),-771.241015625,41819.0,--,SKILL_OFFERED_SUM (5th lag),714.77265625,43090.0,++,MSTB (actual),-602.1171875,1105.0,--,2e Paasdag (6 week fraction equal 3),-471.5613398437,0.1666666666666666,-,APPROVED,TECH_2025-07-14,11,2025,7,195,29,TECH,,133,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0,6536,3954,7992,7644,5212,1105,2171,"2856979,857","2891593,857",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-07-21,12,40720.796875,DAY_OF_YEAR (actual),-1840.5640625,202.0,---,SKILL_OFFERED_SUM (6 week std),814.013671875,3004.155455365118,++,ADDON (actual),-756.912109375,2106.0,--,SKILL_OFFERED_SUM (3rd lag),-735.823828125,41819.0,--,SKILL_OFFERED_SUM (acceleration),703.11484375,34108.0,++,SKILL_OFFERED_SUM (4th lag),-682.862109375,39927.0,--,ASA (actual),566.875390625,118.0,++,SKILL_OFFERED_SUM (velocity),563.384375,20126.83333333333,++,SKILL_OFFERED_SUM (5th lag),490.812109375,43090.0,++,2e Paasdag (6 week fraction equal 3),460.2881816406,0.1666666666666666,++,APPROVED,TECH_2025-07-21,12,2025,7,202,30,TECH,,118,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,6576,5802,7438,7613,2418,1021,2106,"2854481,857","2887455,857",10
2025-04-28,planned,2025-04-28T00:00:00Z,2025-07-28,13,37003.44921875,DAY_OF_YEAR (actual),-2528.2921875,209.0,---,MSTB (actual),-1800.51015625,958.0,--,WEEK_OF_YEAR (6 week mean),-896.25078125,15.5,--,SKILL_OFFERED_SUM (5th lag),816.976953125,43090.0,++,SKILL_OFFERED_SUM (3rd lag),-767.56015625,41819.0,--,SKILL_OFFERED_SUM (2nd lag),-687.66953125,35481.0,--,TECH SWAP (actual),655.191015625,2216.0,++,SKILL_OFFERED_SUM (acceleration),580.39296875,34108.0,++,SKILL_OFFERED_SUM (6 week std),574.244921875,3004.155455365118,++,NEW CUSTOMER (actual),-564.6453125,8300.0,--,APPROVED,TECH_2025-07-28,13,2025,7,209,31,TECH,,93,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,0,8300,8199,7788,8629,2216,958,1916,"2851784,857","2889790,857",10
